강직한,고양이
고요한,거북이
고운,뱀
기특한,호랑이
깜찍한,치타
근면한,기린
귀여운,코뿔소
관대한,악어
깔끔한,부엉이
꾸준한,곰
긍정적인,소
깡이 있는,독수리
겸손한,고릴라
검소한,침팬지
공손한,코알라
기운찬,고래
놀라운,칠면조
나눌 줄 아는,쥐
넉넉한,메추라기
남자다운,삵
느긋한,판다
넉살 좋은,오리
돌보는,백조
낙천적인,고슴도치
낭만적인,우파루파
다정한,너구리
당당한,두꺼비
든든한,이구아나
다재다능한,제비
또렷한,고라니
다양한,당나귀
단호한,염소
대담한,바다표범
리더십 있는,박쥐
로맨틱한,물개
믿음직한,살모사
명량한,얼룩말
마음이 넓은,멧돼지
매력적인,바다코끼리
맑은,북극곰
멋진,미어캣
말을 잘하는,라마
반듯한,기러기
발랄한,스컹크
부드러운,돌고래
빼어난,매
분별력 있는,여우
배려심 있는,늑대
밝은,알파카
배짱 있는,다람쥐
부지런한,강아지
바른,토끼
붙임성 있는,사자
산뜻한,표범
수려한,하이에나
순진무구한,코끼리
순한,하마
싱그러운,펭귄
선한,올빼미
시원시원한,돼지
사교적인,닭
섬세한,타조
사랑스러운,오랑우탄
성실한,원숭이
순수한,캥거루
소신있는,상어
섹시한,직박구리
사려깊은,청설모
시간관념이 뚜렷한,앵무새
소탈한,스라소니
상냥한,오소리
생기있는,거위
솔직한,두루미
신중한,두더지
싹싹한,맹꽁이
아리따운,개구리
어여쁜,카멜레온
예쁜,노루
용감한,까치
우아한,수달
위대한,순록
용기 있는,공작
유능한,들소
유쾌한,참새
아해심 많은,바다사자
아름다운,구렁이
여유로운,산양
원만한,카피바라
육감적인,도롱뇽
여성스러운,퓨마
입이 무거운,코요테
애너지 넘치는,딱따구리
유머러스한,비둘기
융통성있는,아르마딜로
적극적인,까마귀
직선적인,낙타
정의로운,사슴
조용한,재규어
재미있는,양
정직한,담비
존귀한,늑대
지혜로운,재규어
자애로운,알파카
잘 웃는,양
자신감 있는,다람쥐
자유로운,담비
지적인,
절약하는,
정숙한,
진취적인,
착한,
청초한,
창의적인,
침착한,
책임감 있는,
차분한,
친숙한,
친절한,
쾌활한,
카리스마 있는,
튼튼한,
털털한,
편안한,
평화로운,
포근한,
포용력 있는,
훌륭한,
활동적인,
화사한,
화끈한,
합리적인,
헌신적인,
활달한,
호감이가는,
